,display_name,name,start_date,end_date,type,code,capitalization,circulating_cap,market_cap,circulating_market_cap,证监会行业,聚宽二级行业,申万三级行业,概念
002419.XSHE,天虹股份,THGF,2010-06-01,2200-01-01,stock,002419.XSHE,116884.775,116870.0475,55.9878,55.9808,零售业,超市与便利店,百货III,人工智能|无人零售|跨境电商|新零售|深股通|新疆振兴|乡村振兴|农业种植|融资融券|粤港澳自贸区|储能|预制菜|统一大市场|粮食概念|国企改革|低空经济|啤酒概念|白酒概念|腾讯概念|DeepSeek
002420.XSHE,毅昌科技,YCKJ,2010-06-01,2200-01-01,stock,002420.XSHE,41129.0,40387.16,23.8137,23.3842,橡胶和塑料制品业,家电零部件及其他,家电零部件III,充电桩|家用电器|农机|股权转让|粤港澳自贸区|储能|华为汽车|比亚迪概念|汽车热管理|广东自贸区|飞行汽车(eVTOL)|人形机器人|低空经济|机器人概念|宁德时代概念|光伏概念|富士康概念|医疗器械概念|小米概念|华为概念|锂电池概念|24中报预增
002421.XSHE,达实智能,DSZN,2010-06-03,2200-01-01,stock,002421.XSHE,212058.1639,200337.7186,110.4823,104.376,软件和信息技术服务业,系统集成服务,IT服务III,物联网|工业互联网|数据中心|人工智能|人脸识别|云计算|智慧城市|智能医疗|智能交通|数字孪生|碳中和|深股通|雄安新区|融资融券|粤港澳自贸区|建筑节能|转融券标的|互联网医疗|华为鲲鹏|数字经济|信创|机器人概念|抖音概念|腾讯概念|养老概念|华为概念|DeepSeek
002422.XSHE,科伦药业,KLYY,2010-06-03,2200-01-01,stock,002422.XSHE,159078.1208,129861.2341,550.5694,449.4497,医药制造业,药品制剂,化学制剂III,超级真菌|深股通|生物医药|医药电商|融资融券|转融券标的|幽门螺杆菌概念|仿制药一致性评价|肝炎概念|创新药|熊去氧胆酸|流感|合成生物|医疗器械概念|MSCI概念
002423.XSHE,中粮资本,ZLZB,2010-06-03,2200-01-01,stock,002423.XSHE,230410.5575,230410.5575,205.5262,205.5262,保险业,其他综合性金融服务,金融控股III,区块链|人工智能|深股通|乡村振兴|融资融券|转融券标的|国企改革|参股保险|养老概念|期货概念|信托概念
002424.XSHE,ST百灵,STBL,2010-06-03,2200-01-01,stock,002424.XSHE,139759.84,121321.4512,64.1498,55.6865,医药制造业,中成药,中药III,智能医疗|民营医院|乡村振兴|健康中国|互联网医疗|仿制药一致性评价|肝炎概念|创新药|流感|医疗器械概念|腾讯概念
002425.XSHE,凯撒文化,KSWH,2010-06-08,2200-01-01,stock,002425.XSHE,95666.5066,92018.5923,28.6043,27.5136,互联网和相关服务,游戏,游戏III,阿里|今日头条|网络游戏|人工智能|虚拟现实|创投|摘帽|元宇宙|云游戏|抖音概念|文化传媒概念|腾讯概念|华为概念|快手概念
002426.XSHE,胜利精密,SLJM,2010-06-08,2200-01-01,stock,002426.XSHE,340262.5916,340259.9891,129.9803,129.9793,计算机、通信和其他电子设备制造业,消费电子组件及零部件,消费电子零部件及组装III,特斯拉|智能穿戴|一带一路|深股通|融资融券|转融券标的|新型工业化|小米概念|苹果概念|华为概念|锂电池概念
002427.XSHE,尤夫股份,YFGF,2010-06-08,2200-01-01,stock,002427.XSHE,98543.2777,98451.7986,45.2314,45.1894,化学纤维制造业,锦纶与涤纶,涤纶III,海工装备|深股通|国企改革
002428.XSHE,云南锗业,YNZY,2010-06-08,2200-01-01,stock,002428.XSHE,65312.0,65303.5625,558.4176,558.3455,有色金属冶炼和压延加工业,其他稀有金属,其他稀有小金属III,军工|深股通|稀缺资源|第三代半导体|融资融券|商业航天|氟化工概念|芯片概念|光伏概念|小金属概念|华为概念|光纤
002429.XSHE,兆驰股份,ZCGF,2010-06-10,2200-01-01,stock,002429.XSHE,452694.0607,452433.2643,535.0844,534.7761,计算机、通信和其他电子设备制造业,黑色家电,彩电III,阿里|数据中心|节能照明|5G|MiniLED|智能家居|智能音箱|深圳国资改革|深股通|第三代半导体|融资融券|粤港澳自贸区|汽车芯片|5G概念|PCB概念|国企改革|拼多多概念|芯片概念|抖音概念|富士康概念|小米概念|F5G|光纤
002430.XSHE,杭氧股份,HYGF,2010-06-10,2200-01-01,stock,002430.XSHE,97835.8769,97793.7569,244.5897,244.4844,专用设备制造业,其他化学原料,其他化学制品III,一带一路|深股通|天然气|举牌|融资融券|转融券标的|储能|氢能源|高压氧舱|国企改革|超导概念|可控核聚变|商业航天|煤化工概念|芯片概念|MSCI概念
